 Node ID,0:00 ,1:00 ,2:00 ,3:00 ,4:00 ,5:00 ,6:00 ,7:00 ,8:00 ,9:00 ,10:00 ,
87,50.136570,50.136740,50.136740,50.136740,50.136740,50.136740,50.136740,50.136740,50.136740,50.136740,50.136740,
88,50.129980,50.130150,50.130150,50.130150,50.130150,50.130150,50.130150,50.130150,50.130150,50.130150,50.130150,
89,47.112600,47.112770,47.112770,47.112770,47.112770,47.112770,47.112770,47.112770,47.112770,47.112770,47.112770,
90,50.131830,50.132010,50.132010,50.132010,50.132010,50.132010,50.132010,50.132010,50.132010,50.132010,50.132010,
91,50.136950,50.137120,50.137120,50.137120,50.137120,50.137120,50.137120,50.137120,50.137120,50.137120,50.137120,
92,50.131740,50.131900,50.131900,50.131900,50.131900,50.131900,50.131900,50.131900,50.131900,50.131900,50.131900,
93,50.133450,50.133610,50.133610,50.133610,50.133610,50.133610,50.133610,50.133610,50.133610,50.133610,50.133610,
94,55.137170,55.137340,55.137340,55.137340,55.137340,55.137340,55.137340,55.137340,55.137340,55.137340,55.137340,
95,50.136370,50.136560,50.136560,50.136560,50.136560,50.136560,50.136560,50.136560,50.136560,50.136560,50.136560,
96,50.153990,50.154190,50.154190,50.154190,50.154190,50.154190,50.154190,50.154190,50.154190,50.154190,50.154190,
97,50.145690,50.145890,50.145890,50.145890,50.145890,50.145890,50.145890,50.145890,50.145890,50.145890,50.145890,
98,50.152690,50.152880,50.152880,50.152880,50.152880,50.152880,50.152880,50.152880,50.152880,50.152880,50.152880,
99,50.214920,50.215110,50.215110,50.215110,50.215110,50.215110,50.215110,50.215110,50.215110,50.215110,50.215110,
100,50.204640,50.204830,50.204830,50.204830,50.204830,50.204830,50.204830,50.204830,50.204830,50.204830,50.204830,
101,50.289230,50.289420,50.289420,50.289420,50.289420,50.289420,50.289420,50.289420,50.289420,50.289420,50.289420,
102,50.349050,50.349240,50.349240,50.349240,50.349240,50.349240,50.349240,50.349240,50.349240,50.349240,50.349240,
103,50.478430,50.478610,50.478610,50.478610,50.478610,50.478610,50.478610,50.478610,50.478610,50.478610,50.478610,
104,50.327480,50.327670,50.327670,50.327670,50.327670,50.327670,50.327670,50.327670,50.327670,50.327670,50.327670,
105,50.349380,50.349570,50.349570,50.349570,50.349570,50.349570,50.349570,50.349570,50.349570,50.349570,50.349570,
106,55.136030,55.136200,55.136200,55.136200,55.136200,55.136200,55.136200,55.136200,55.136200,55.136200,55.136200,
