Id,latitude,longitude,Weight,,# Result
24,42.651588,112.378768,2540.9424,,2.5409424
24001,42.743151,113.257251,2428.3798,,2.4283798
25,43.292078,114.206387,2435.6253,,2.4356253
45001,31.676668,117.569662,2312.958,,2.312958
71001,19.558789,128.86214,2305.0811,,2.3050811
127001,34.814163,125.482761,732.149,,0.732149
202001,50.080363,122.653537,110.31006,,0.11031006
301001,52.475883,112.636962,313.7811,,0.3137811
304,48.840429,113.460378,487.78516,,0.48778516
422,67.987002,128.817982,64.104296,,0.064104296
38,51.969806,122.875885,0,,0
43,71.451508,130.173371,0,,0
44,67.356887,121.734013,0,,0
88,62.486461,90.707101,0,,0
